"id","filename","description","main","created","country_id","thumbnail","long_thumb","color_palette","height","screenshot","stat_count","story_count","viz_count","palette_image","screenshot_missing","total_stats"
172,"syria.png","",False,"2016-07-06 02:17:14.444-04",190,"thumbnails/syria.png","long_thumbs/syria.png","[(53, 38, 57), (248, 248, 240), (187, 164, 120)]",4952,"screenshots/syria.png",0,5,0,"palettes/syria.png",NULL,5
203,"saudi_arabia.png","",False,"2016-07-06 02:25:31.709-04",171,"thumbnails/saudi_arabia.png","long_thumbs/saudi_arabia.png","[(236, 236, 236), (35, 171, 195), (61, 56, 110)]",2568,"screenshots/saudi_arabia.png",4,0,0,"palettes/saudi_arabia.png",NULL,4
152,"san_marino.png","",False,"2016-07-06 02:10:45.006-04",169,"thumbnails/san_marino.png","long_thumbs/san_marino.png","[(211, 230, 233), (46, 82, 112), (214, 200, 154)]",939,"screenshots/san_marino.png",0,0,0,"palettes/san_marino.png",NULL,0
223,"united_states_-_census.png","",False,"2016-07-06 22:51:56.382-04",209,"thumbnails/united_states_-_census.png","long_thumbs/united_states_-_census.png","[(251, 252, 251), (23, 93, 136), (187, 189, 187)]",1649,"screenshots/united_states_-_census.png",5,0,0,"palettes/united_states_-_census.png",NULL,5
142,"peru.png","",False,"2016-07-06 02:06:13.772-04",159,"thumbnails/peru.png","long_thumbs/peru.png","[(247, 250, 249), (18, 15, 18), (78, 142, 158)]",2298,"screenshots/peru.png",10,3,1,"palettes/peru.png",NULL,14
178,"trinidad_and_tobago.png","",False,"2016-07-06 02:19:21.914-04",196,"thumbnails/trinidad_and_tobago.png","long_thumbs/trinidad_and_tobago.png","[(29, 29, 28), (246, 246, 246), (173, 110, 82)]",3066,"screenshots/trinidad_and_tobago.png",6,0,0,"palettes/trinidad_and_tobago.png",NULL,6
186,"united_kingdom.png","",False,"2016-07-06 02:22:18.658-04",204,"thumbnails/united_kingdom.png","long_thumbs/united_kingdom.png","[(249, 249, 250), (8, 97, 165), (17, 18, 18)]",5983,"screenshots/united_kingdom.png",0,0,0,"palettes/united_kingdom.png",NULL,0
143,"philippines.png","",False,"2016-07-06 02:07:29.287-04",160,"thumbnails/philippines.png","long_thumbs/philippines.png","[(227, 127, 63), (40, 109, 155), (242, 242, 242)]",10361,"screenshots/philippines.png",4,13,0,"palettes/philippines.png",NULL,17
173,"tajikistan.png","",False,"2016-07-06 02:18:15.906-04",191,"thumbnails/tajikistan.png","long_thumbs/tajikistan.png","[(251, 251, 251), (52, 101, 64), (193, 204, 199)]",2983,"screenshots/tajikistan.png",0,0,0,"palettes/tajikistan.png",NULL,0
257,"chile.png","",False,"2016-07-07 01:23:55.987-04",55,"thumbnails/chile.png","long_thumbs/chile.png","[(37, 72, 98), (248, 250, 250), (202, 121, 88)]",2365,"screenshots/chile.png",10,1,0,"palettes/chile.png",NULL,11
259,"colombia.png","",False,"2016-07-07 01:23:55.988-04",57,"thumbnails/colombia.png","long_thumbs/colombia.png","[(253, 253, 253), (83, 67, 75), (184, 158, 136)]",1878,"screenshots/colombia.png",3,1,1,"palettes/colombia.png",NULL,5
263,"canada.png","",False,"2016-07-07 01:23:55.99-04",52,"thumbnails/canada.png","long_thumbs/canada.png","[(249, 249, 249), (68, 77, 104), (218, 224, 225)]",3757,"screenshots/canada.png",7,0,0,"palettes/canada.png",NULL,7
262,"andorra.png","",False,"2016-07-07 01:23:55.99-04",20,"thumbnails/andorra.png","long_thumbs/andorra.png","[(242, 243, 240), (152, 150, 161), (49, 64, 96)]",802,"screenshots/andorra.png",4,0,1,"palettes/andorra.png",NULL,5
275,"liberia.png","",False,"2016-07-07 21:49:22.62-04",120,"thumbnails/liberia.png","long_thumbs/liberia.png","[(246, 248, 247), (20, 17, 52), (136, 140, 159)]",1367,"screenshots/liberia.png",0,1,0,"palettes/liberia.png",NULL,1
146,"romania.png","",False,"2016-07-06 02:07:52.55-04",163,"thumbnails/romania.png","long_thumbs/romania.png","[(244, 244, 243), (146, 39, 69), (197, 202, 203)]",2008,"screenshots/romania.png",0,8,1,"palettes/romania.png",NULL,9
269,"panama.png","",False,"2016-07-07 21:49:22.613-04",156,"thumbnails/panama.png","long_thumbs/panama.png","[(241, 242, 241), (17, 104, 187), (62, 40, 33)]",1400,"screenshots/panama.png",23,0,0,"palettes/panama.png",NULL,23
280,"sint_maarten.png","",False,"2016-07-07 21:49:22.621-04",176,"thumbnails/sint_maarten.png","long_thumbs/sint_maarten.png","[(250, 250, 249), (81, 121, 148), (147, 192, 202)]",800,"screenshots/sint_maarten.png",0,0,0,"palettes/sint_maarten.png",NULL,0
273,"iran.png","",False,"2016-07-07 21:49:22.617-04",103,"thumbnails/iran.png","long_thumbs/iran.png","[(31, 97, 115), (241, 241, 237), (61, 175, 182)]",874,"screenshots/iran.png",0,0,0,"palettes/iran.png",NULL,0
276,"india.png","",False,"2016-07-07 21:49:22.621-04",101,"thumbnails/india.png","long_thumbs/india.png","[(241, 245, 248), (17, 86, 154), (195, 85, 40)]",1061,"screenshots/india.png",0,0,0,"palettes/india.png",NULL,0
278,"tunisia.png","",False,"2016-07-07 21:49:22.621-04",197,"thumbnails/tunisia.png","long_thumbs/tunisia.png","[(245, 248, 247), (61, 124, 160), (177, 164, 62)]",3651,"screenshots/tunisia.png",5,5,1,"palettes/tunisia.png",NULL,11
279,"seychelles.png","",False,"2016-07-07 21:49:22.621-04",174,"thumbnails/seychelles.png","long_thumbs/seychelles.png","[(246, 246, 245), (99, 124, 150), (39, 39, 41)]",1630,"screenshots/seychelles.png",0,0,0,"palettes/seychelles.png",NULL,0
148,"rwanda.png","",False,"2016-07-06 02:08:32.19-04",165,"thumbnails/rwanda.png","long_thumbs/rwanda.png","[(247, 248, 247), (16, 15, 16), (50, 119, 189)]",2043,"screenshots/rwanda.png",4,0,1,"palettes/rwanda.png",NULL,5
151,"samoa.png","",False,"2016-07-06 02:10:23.282-04",168,"thumbnails/samoa.png","long_thumbs/samoa.png","[(75, 50, 49), (229, 233, 233), (103, 156, 186)]",1845,"screenshots/samoa.png",0,0,0,"palettes/samoa.png",NULL,0
